,subtasks,description,crafter_subtasks
0,"['Make Iron Pickaxe', 'Collect Wood', 'Place Table', 'Make Wood Pickaxe', 'Collect Stone']","""Construct an iron pickaxe, gather timber, set up a table, fashion a wooden pickaxe, and collect rocks.""","['make_iron_pickaxe', 'collect_wood', 'place_table', 'make_wood_pickaxe', 'collect_stone']"
1,"['Collect Stone', 'Make Wood Pickaxe', 'Collect Stone', 'Make Stone Pickaxe']","""Gather rocks, craft a wooden pickaxe, acquire more rocks, and manufacture a stone pickaxe.""","['collect_stone', 'make_wood_pickaxe', 'collect_stone', 'make_stone_pickaxe']"
2,"['Make Stone Sword with count 2', 'Place Stone', 'Collect Iron']"," ""Craft two stone knives, gather untamed iron, and lay a stone block nearby.""","['make_stone_sword', 'make_stone_sword', 'place_stone', 'collect_iron']"
3,"['Collect Drink with count 1', 'Make Wood Sword', 'Collect Wood', 'Place Table']","""Acquire a beverage in the quantity of one, craft a wooden sword, gather timber, and situate a table.""","['collect_drink', 'make_wood_sword', 'collect_wood', 'place_table']"
4,"['Collect Sapling', 'Place Plant', 'Make Wood Pickaxe', 'Collect Stone with count 2']"," ""Find a sapling, place a plant, carve a pick from timber, and mine two stones with the tool.""","['collect_sapling', 'place_plant', 'make_wood_pickaxe', 'collect_stone', 'collect_stone']"
5,"['Collect Wood', 'Place Table', 'Place Plant']","Gather timber, position a table, and set out some greenery.","['collect_wood', 'place_table', 'place_plant']"
6,"['Make Wood Pickaxe', 'Collect Stone', 'Make Stone Pickaxe', 'Collect Iron', 'Make Iron Sword']","""Gather materials to craft a wooden pickaxe, then use it to collect stone and craft a stone pickaxe, subsequently use the stone pickaxe to gather iron, and finally forge an iron sword.""","['make_wood_pickaxe', 'collect_stone', 'make_stone_pickaxe', 'collect_iron', 'make_iron_sword']"
7,"['Make Stone Sword', 'Eat Cow', 'Make Wood Pickaxe']","""Craft a stone blade, dine on a bovine, and construct a wooden mining tool.""","['make_stone_sword', 'eat_cow', 'make_wood_pickaxe']"
8,"['Defeat Skeleton', 'Place Stone', 'Place Plant']"," ""Slay the bony foe, place a stone, and lay down a plant in the surrounding.""","['defeat_skeleton', 'place_stone', 'place_plant']"
9,"['Make Stone Pickaxe', 'Collect Sapling', 'Place Plant']","""Procure a stone pickaxe, gather a sapling, and position it in the ground for planting.""","['make_stone_pickaxe', 'collect_sapling', 'place_plant']"
10,"['Collect Stone', 'Make Stone Pickaxe', 'Collect Drink']"," ""Find a stone, shape it into a pickaxe, and take a refreshing drink.""","['collect_stone', 'make_stone_pickaxe', 'collect_drink']"
11,"['Defeat Skeleton with count 2', 'Collect Wood', 'Place Table with count 3', 'Make Wood Pickaxe', 'Collect Stone', 'Place Stone']","""Vanquish the pair of Skeletons, gather timber, construct a trio of Tables, forge a Wood Pickaxe, amass Stones, and lay down Stone blocks.""","['defeat_skeleton', 'defeat_skeleton', 'collect_wood', 'place_table', 'place_table', 'place_table', 'make_wood_pickaxe', 'collect_stone', 'place_stone']"
12,"['Make Stone Sword', 'Place Furnace', 'Defeat Skeleton with count 3']","""Craft a stone blade, construct a smelting device, and vanquish a trio of skeletal adversaries.""","['make_stone_sword', 'place_furnace', 'defeat_skeleton', 'defeat_skeleton', 'defeat_skeleton']"
13,"['Make Wood Pickaxe', 'Collect Stone', 'Make Stone Sword with count 3']","""Fashion a wooden pickaxe, gather three stones, and manufacture a trio of stone swords.""","['make_wood_pickaxe', 'collect_stone', 'make_stone_sword', 'make_stone_sword', 'make_stone_sword']"
14,"['Collect Stone', 'Make Stone Pickaxe', 'Place Furnace with count 2']"," ""Gather some stones, shape one into a tool, and kindle a fire with two pieces of fuel.""","['collect_stone', 'make_stone_pickaxe', 'place_furnace', 'place_furnace']"
15,"['Collect Drink', 'Collect Stone', 'Make Stone Pickaxe']","""Gather a beverage and a rock, then craft a stone pickaxe.""","['collect_drink', 'collect_stone', 'make_stone_pickaxe']"
16,"['Eat Cow', 'Place Plant', 'Collect Stone', 'Make Stone Sword']"," ""Partake of the noble cow's flesh, lay out the verdant foliage, collect the smooth stones, and craft a stony blade.""","['eat_cow', 'place_plant', 'collect_stone', 'make_stone_sword']"
17,"['Eat Plant with count 1', 'Place Stone', 'Make Stone Pickaxe']","""Consume one plant, relocate a stone, and craft a pickaxe from stones.""","['eat_plant', 'place_stone', 'make_stone_pickaxe']"
18,"['Collect Drink', 'Collect Stone', 'Eat Cow']","""Acquire a beverage, a rock, and consume a bovine.""","['collect_drink', 'collect_stone', 'eat_cow']"
19,"['Make Iron Sword', 'Make Wood Pickaxe with count 2', 'Make Wood Pickaxe', 'Collect Stone', 'Make Stone Pickaxe', 'Collect Iron']"," 'Fashion a sword of steel, hew two wooden picks, carve a third, gather stones, forge a stone pick, and mine for iron.'","['make_iron_sword', 'make_wood_pickaxe', 'make_wood_pickaxe', 'make_wood_pickaxe', 'collect_stone', 'make_stone_pickaxe', 'collect_iron']"
20,"['Make Stone Pickaxe', 'Collect Iron', 'Make Iron Sword']","""Procure materials to craft a stone pickaxe, gather iron, and fashion an iron sword.""","['make_stone_pickaxe', 'collect_iron', 'make_iron_sword']"
21,"['Collect Wood', 'Place Table', 'Make Wood Pickaxe', 'Collect Stone with count 3', 'Make Stone Sword with count 1']","""Gather firewood, construct a table, craft a wooden pickaxe, mine three stones using it, and forge a stone sword.""","['collect_wood', 'place_table', 'make_wood_pickaxe', 'collect_stone', 'collect_stone', 'collect_stone', 'make_stone_sword']"
22,"['Make Stone Sword with count 1', 'Defeat Skeleton', 'Collect Wood', 'Place Table', 'Make Wood Pickaxe', 'Collect Coal']","""Equip yourself with a stone sword, eliminate the skeleton adversary, gather timber, construct a table, manufacture a wooden pickaxe, and collect coal as your final objective.""","['make_stone_sword', 'defeat_skeleton', 'collect_wood', 'place_table', 'make_wood_pickaxe', 'collect_coal']"
23,"['Make Iron Sword with count 2', 'Make Wood Pickaxe', 'Collect Coal', 'Make Iron Pickaxe']","""Procure the necessary resources to construct a wooden pickaxe and two iron swords, as well as gather coal for manufacturing an iron pickaxe.""","['make_iron_sword', 'make_iron_sword', 'make_wood_pickaxe', 'collect_coal', 'make_iron_pickaxe']"
